alpha,c_fit,model_applicable,r2_boot_median,r2_boot_lo,r2_boot_hi,frac_resamples_r2_undefined
1.0,1.0804176143657787e-05,False,,,,1.0
1.5,5.100383212695143e-06,False,,,,1.0
2.0,4.82603559837837e-06,False,,,,1.0
3.0,4.348587356596448e-06,False,,,,1.0
5.0,1.124564271801195e-05,False,-0.00025418044762193226,-0.2299877133920687,0.6738403448217585,0.319
7.0,0.001774315938619771,False,-0.09840989086579,-0.7126021117652792,0.8760121158076402,0.013
10.0,0.004068817629991226,False,-0.1287560147228214,-0.7003027671214449,0.9184995980694382,0.0
13.0,0.005460405380223275,False,-0.15972997981341297,-0.7565086518209168,0.9299206566587968,0.0
16.0,0.031146488185810197,True,0.919203226857066,0.7640826602743536,0.9937782365819344,0.0
20.0,0.028903224542663017,True,0.9379966780307187,0.7480142569898476,0.9943417072712496,0.0
25.0,0.02554036546108016,True,0.9587938980937106,0.7730324009715094,0.9971777671379447,0.0
30.0,0.021998240675496716,True,0.9668841081903965,0.7852606867383738,0.9983865583229409,0.0
40.0,0.017248297245403447,True,0.9723340550207105,0.7837163494303745,0.9999588084230217,0.0
60.0,0.012046163348491998,True,0.9768697225615665,0.803573635282005,0.9996625208152845,0.0
