alpha,seed,kernel,iou,active_frac
1.0,0,random_fixed,1.0,1.0
1.0,0,trained,0.25,1.0
1.0,1,random_fixed,1.0,1.0
1.0,1,trained,0.25,1.0
1.0,2,random_fixed,1.0,1.0
1.0,2,trained,0.25,1.0
1.0,3,random_fixed,1.0,1.0
1.0,3,trained,0.25,1.0
1.0,4,random_fixed,1.0,1.0
1.0,4,trained,0.25,1.0
1.0,5,random_fixed,1.0,1.0
1.0,5,trained,0.25,1.0
1.0,6,random_fixed,1.0,1.0
1.0,6,trained,0.25,1.0
1.0,7,random_fixed,1.0,1.0
1.0,7,trained,0.25,1.0
1.5,0,random_fixed,1.0,1.0
1.5,0,trained,0.40087890625,1.0
1.5,1,random_fixed,1.0,1.0
1.5,1,trained,0.400390625,1.0
1.5,2,random_fixed,1.0,1.0
1.5,2,trained,0.41650390625,1.0
1.5,3,random_fixed,1.0,1.0
1.5,3,trained,0.40234375,1.0
1.5,4,random_fixed,1.0,1.0
1.5,4,trained,0.4013671875,1.0
1.5,5,random_fixed,1.0,1.0
1.5,5,trained,0.4072265625,1.0
1.5,6,random_fixed,1.0,1.0
1.5,6,trained,0.39599609375,1.0
1.5,7,random_fixed,1.0,1.0
1.5,7,trained,0.39599609375,1.0
2.0,0,random_fixed,1.0,1.0
2.0,0,trained,0.64501953125,0.943359375
2.0,1,random_fixed,1.0,1.0
2.0,1,trained,0.63720703125,0.947265625
2.0,2,random_fixed,1.0,1.0
2.0,2,trained,0.65234375,0.94140625
2.0,3,random_fixed,1.0,1.0
2.0,3,trained,0.6455078125,0.943359375
2.0,4,random_fixed,1.0,1.0
2.0,4,trained,0.64013671875,0.947509765625
2.0,5,random_fixed,1.0,1.0
2.0,5,trained,0.63427734375,0.945068359375
2.0,6,random_fixed,1.0,1.0
2.0,6,trained,0.64453125,0.944580078125
2.0,7,random_fixed,1.0,1.0
2.0,7,trained,0.62548828125,0.951171875
3.0,0,random_fixed,1.0,1.0
3.0,0,trained,0.71826171875,0.90283203125
3.0,1,random_fixed,1.0,1.0
3.0,1,trained,0.705078125,0.912841796875
3.0,2,random_fixed,1.0,1.0
3.0,2,trained,0.71875,0.904541015625
3.0,3,random_fixed,1.0,1.0
3.0,3,trained,0.70263671875,0.909912109375
3.0,4,random_fixed,1.0,1.0
3.0,4,trained,0.72021484375,0.908935546875
3.0,5,random_fixed,1.0,1.0
3.0,5,trained,0.71484375,0.90478515625
3.0,6,random_fixed,1.0,1.0
3.0,6,trained,0.7109375,0.907470703125
3.0,7,random_fixed,1.0,1.0
3.0,7,trained,0.71240234375,0.90966796875
5.0,0,random_fixed,1.0,1.0
5.0,0,trained,0.71142578125,0.705322265625
5.0,1,random_fixed,1.0,1.0
5.0,1,trained,0.71240234375,0.71826171875
5.0,2,random_fixed,1.0,1.0
5.0,2,trained,0.71875,0.72314453125
5.0,3,random_fixed,1.0,1.0
5.0,3,trained,0.70849609375,0.7197265625
5.0,4,random_fixed,1.0,1.0
5.0,4,trained,0.712890625,0.708984375
5.0,5,random_fixed,1.0,1.0
5.0,5,trained,0.71337890625,0.722900390625
5.0,6,random_fixed,1.0,1.0
5.0,6,trained,0.7138671875,0.724609375
5.0,7,random_fixed,1.0,1.0
5.0,7,trained,0.705078125,0.7158203125
7.0,0,random_fixed,1.0,1.0
7.0,0,trained,0.73486328125,0.53369140625
7.0,1,random_fixed,1.0,1.0
7.0,1,trained,0.73583984375,0.53857421875
7.0,2,random_fixed,1.0,1.0
7.0,2,trained,0.73681640625,0.542724609375
7.0,3,random_fixed,1.0,1.0
7.0,3,trained,0.7373046875,0.5458984375
7.0,4,random_fixed,1.0,1.0
7.0,4,trained,0.734375,0.543701171875
7.0,5,random_fixed,1.0,1.0
7.0,5,trained,0.73291015625,0.552490234375
7.0,6,random_fixed,1.0,1.0
7.0,6,trained,0.73583984375,0.53955078125
7.0,7,random_fixed,1.0,1.0
7.0,7,trained,0.73681640625,0.5478515625
10.0,0,random_fixed,1.0,0.999755859375
10.0,0,trained,0.736328125,0.43017578125
10.0,1,random_fixed,1.0,0.999755859375
10.0,1,trained,0.73779296875,0.435546875
10.0,2,random_fixed,1.0,1.0
10.0,2,trained,0.73974609375,0.443603515625
10.0,3,random_fixed,1.0,0.999755859375
10.0,3,trained,0.7373046875,0.4423828125
10.0,4,random_fixed,1.0,0.999755859375
10.0,4,trained,0.73583984375,0.430419921875
10.0,5,random_fixed,1.0,1.0
10.0,5,trained,0.73095703125,0.4384765625
10.0,6,random_fixed,1.0,1.0
10.0,6,trained,0.7353515625,0.42529296875
10.0,7,random_fixed,1.0,1.0
10.0,7,trained,0.7353515625,0.43896484375
13.0,0,random_fixed,0.99560546875,0.82373046875
13.0,0,trained,0.72119140625,0.326171875
13.0,1,random_fixed,0.9956161714564052,0.82666015625
13.0,1,trained,0.726207906295754,0.3388671875
13.0,2,random_fixed,0.9965870307167235,0.818603515625
13.0,2,trained,0.72314453125,0.345947265625
13.0,3,random_fixed,0.9936616284739151,0.8193359375
13.0,3,trained,0.72216796875,0.344970703125
13.0,4,random_fixed,0.9917475728155339,0.810546875
13.0,4,trained,0.712890625,0.332275390625
13.0,5,random_fixed,0.9941463414634146,0.809814453125
13.0,5,trained,0.712890625,0.33984375
13.0,6,random_fixed,1.0,0.8310546875
13.0,6,trained,0.71728515625,0.332275390625
13.0,7,random_fixed,0.9965936739659368,0.81640625
13.0,7,trained,0.72265625,0.341796875
16.0,0,random_fixed,0.9786821705426356,0.619384765625
16.0,0,trained,0.69580078125,0.25244140625
16.0,1,random_fixed,0.9835191468734852,0.64111328125
16.0,1,trained,0.6960975609756097,0.26171875
16.0,2,random_fixed,0.9892839746712129,0.638671875
16.0,2,trained,0.6953125,0.266357421875
16.0,3,random_fixed,0.974000962927299,0.6162109375
16.0,3,trained,0.697265625,0.272705078125
16.0,4,random_fixed,0.974987974987975,0.626220703125
16.0,4,trained,0.69287109375,0.259521484375
16.0,5,random_fixed,0.9845261121856866,0.61962890625
16.0,5,trained,0.69775390625,0.275390625
16.0,6,random_fixed,0.9868868382710053,0.63330078125
16.0,6,trained,0.69189453125,0.259033203125
16.0,7,random_fixed,0.9773603082851637,0.6162109375
16.0,7,trained,0.693359375,0.260498046875
20.0,0,random_fixed,0.9400570884871551,0.4658203125
20.0,0,trained,0.6656905807711079,0.18505859375
20.0,1,random_fixed,0.9618138424821002,0.48876953125
20.0,1,trained,0.6621160409556314,0.20068359375
20.0,2,random_fixed,0.9476190476190476,0.47314453125
20.0,2,trained,0.6606533398342272,0.203369140625
20.0,3,random_fixed,0.9398213446168312,0.457275390625
20.0,3,trained,0.6621160409556314,0.19091796875
20.0,4,random_fixed,0.9403973509933775,0.47021484375
20.0,4,trained,0.6645538761579717,0.191650390625
20.0,5,random_fixed,0.9518129770992366,0.469970703125
20.0,5,trained,0.6669921875,0.196044921875
20.0,6,random_fixed,0.9635141622659625,0.484130859375
20.0,6,trained,0.6612981942410933,0.188720703125
20.0,7,random_fixed,0.9340245051837889,0.452880859375
20.0,7,trained,0.6512420847540185,0.18896484375
25.0,0,random_fixed,0.8898698884758365,0.33349609375
25.0,0,trained,0.628780487804878,0.118408203125
25.0,1,random_fixed,0.9216783216783216,0.36474609375
25.0,1,trained,0.6320662768031189,0.142822265625
25.0,2,random_fixed,0.9188935771214253,0.35205078125
25.0,2,trained,0.6274987810823989,0.141845703125
25.0,3,random_fixed,0.8951241950321988,0.33984375
25.0,3,trained,0.636274987810824,0.143310546875
25.0,4,random_fixed,0.8979310344827586,0.358154296875
25.0,4,trained,0.6276803118908382,0.136474609375
25.0,5,random_fixed,0.9083255378858747,0.357421875
25.0,5,trained,0.6417764763299171,0.141357421875
25.0,6,random_fixed,0.9363117870722434,0.3642578125
25.0,6,trained,0.6274987810823989,0.130126953125
25.0,7,random_fixed,0.8938134810710988,0.33642578125
25.0,7,trained,0.6120563928050559,0.12744140625
30.0,0,random_fixed,0.8570127504553734,0.260986328125
30.0,0,trained,0.6222005842259006,0.094970703125
30.0,1,random_fixed,0.8975183823529411,0.29638671875
30.0,1,trained,0.5992217898832685,0.102783203125
30.0,2,random_fixed,0.8829201101928374,0.273193359375
30.0,2,trained,0.5897810218978102,0.103271484375
30.0,3,random_fixed,0.8504504504504504,0.268310546875
30.0,3,trained,0.6012658227848101,0.109130859375
30.0,4,random_fixed,0.8668478260869565,0.289306640625
30.0,4,trained,0.5891812865497076,0.08935546875
30.0,5,random_fixed,0.8806451612903226,0.2744140625
30.0,5,trained,0.6079960994636763,0.096923828125
30.0,6,random_fixed,0.8921296296296296,0.290283203125
30.0,6,trained,0.5915287244401168,0.09326171875
30.0,7,random_fixed,0.868755676657584,0.262451171875
30.0,7,trained,0.5866925692083536,0.095703125
40.0,0,random_fixed,0.8198840838163174,0.18701171875
40.0,0,trained,0.5848322800194458,0.057373046875
40.0,1,random_fixed,0.8406569019085663,0.196044921875
40.0,1,trained,0.5638039786511402,0.063720703125
40.0,2,random_fixed,0.832807570977918,0.185302734375
40.0,2,trained,0.5660194174757281,0.068603515625
40.0,3,random_fixed,0.8072342302602559,0.181884765625
40.0,3,trained,0.5589519650655022,0.064697265625
40.0,4,random_fixed,0.8297682709447415,0.194580078125
40.0,4,trained,0.5673965936739659,0.05810546875
40.0,5,random_fixed,0.8331830477908025,0.192626953125
40.0,5,trained,0.5648372996600292,0.060302734375
40.0,6,random_fixed,0.8531943815133666,0.19580078125
40.0,6,trained,0.5527467185221195,0.055908203125
40.0,7,random_fixed,0.8204225352112676,0.188720703125
40.0,7,trained,0.5370101596516691,0.058837890625
60.0,0,random_fixed,0.7636912462268219,0.103515625
60.0,0,trained,0.5195557701593433,0.030029296875
60.0,1,random_fixed,0.7776344086021505,0.11669921875
60.0,1,trained,0.5191654536632703,0.029296875
60.0,2,random_fixed,0.7830478700043917,0.114501953125
60.0,2,trained,0.5118874332848132,0.03369140625
60.0,3,random_fixed,0.7632371932845459,0.1083984375
60.0,3,trained,0.5186260280599904,0.03125
60.0,4,random_fixed,0.782439446366782,0.10693359375
60.0,4,trained,0.5196316044595249,0.031494140625
60.0,5,random_fixed,0.7563605002156102,0.115966796875
60.0,5,trained,0.5346246973365617,0.03271484375
60.0,6,random_fixed,0.7894273127753304,0.114501953125
60.0,6,trained,0.5199222546161322,0.031494140625
60.0,7,random_fixed,0.7539445628997867,0.10888671875
60.0,7,trained,0.5004821600771456,0.031982421875
