activation,optimizer,seed,ckpt_path,pre_finetune_test_acc,post_finetune_test_acc,pre_finetune_test_loss,post_finetune_test_loss
gelu,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_gelu_seed0.pt,0.9272,0.8743,0.22948421397209168,0.4198252726316452
gelu,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_gelu_seed1.pt,0.9274,0.8736,0.23266246626377105,0.39604943237304685
gelu,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_gelu_seed2.pt,0.9277,0.8723,0.22947886033058165,0.41617547488212586
mish,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_mish_seed0.pt,0.9186,0.8512,0.24744031534194946,0.48404336352348326
mish,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_mish_seed1.pt,0.9176,0.8417,0.2503567202091217,0.5354240526676178
mish,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_mish_seed2.pt,0.9185,0.8738,0.248014749789238,0.4037172648906708
relu,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_relu_seed0.pt,0.9275,0.8824,0.24043942437171936,0.4054342202663422
relu,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_relu_seed1.pt,0.9232,0.8522,0.24535386652946473,0.46800807700157165
relu,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_relu_seed2.pt,0.9227,0.8186,0.23814247267246247,0.6727487238883972
silu,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_silu_seed0.pt,0.9176,0.8463,0.24748946537971497,0.4806518252372742
silu,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_silu_seed1.pt,0.9151,0.8594,0.25583788220882414,0.44958670173883436
silu,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_silu_seed2.pt,0.9167,0.8559,0.24867553112506866,0.46214748964309693
gelu,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_gelu_adamw_seed0.pt,0.9172,0.8774,0.34927512030601504,0.5095426244735718
gelu,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_gelu_adamw_seed1.pt,0.9242,0.909,0.3249895947933197,0.39650462217330934
gelu,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_gelu_adamw_seed2.pt,0.9222,0.8982,0.3315956529855728,0.4334631854057312
mish,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_mish_adamw_seed0.pt,0.9199,0.8994,0.3167513970375061,0.4147430438518524
mish,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_mish_adamw_seed1.pt,0.919,0.8948,0.31354606313705446,0.42431757287979127
mish,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_mish_adamw_seed2.pt,0.9204,0.89,0.31750084476470947,0.4394455877304077
relu,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_relu_adamw_seed0.pt,0.9203,0.8745,0.31070244979858397,0.5443222602844239
relu,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_relu_adamw_seed1.pt,0.9195,0.8951,0.32493372116088864,0.4332050986289978
relu,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_relu_adamw_seed2.pt,0.9185,0.868,0.32695451414585114,0.5432483360290528
silu,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_silu_adamw_seed0.pt,0.9218,0.8941,0.30791531100273134,0.43342609491348266
silu,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_silu_adamw_seed1.pt,0.9194,0.8924,0.32100128564834596,0.4377795728683472
silu,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_silu_adamw_seed2.pt,0.9194,0.8714,0.3151698790550232,0.5052863124847412
