activation,optimizer,seed,epoch,test_acc,epoch_time,gate_mean,active_frac,pre_activation_var,post_activation_var,bn_mean_abs_gamma,bn_mean_abs_beta,hessian_trace_estimate,top_eigenvalue_estimate
relu,adamw,0,0,0.5622,27.555394411087036,0.5248129367828369,0.5248129411764706,1.6207483586143046,0.7736395159188438,0.9962605834007263,0.014636664651334286,1226.0089951008558,328.2772521972656
relu,adamw,0,6,0.8415,15.937114000320435,0.49296116828918457,0.49296117647058824,1.5659392651389628,0.6680396541076548,0.9858303070068359,0.09910450130701065,765.4280612200498,84.22277069091797
relu,adamw,0,12,0.8934,15.535910367965698,0.4741058945655823,0.47410588235294115,1.524591137381161,0.6133989323587978,0.9793984293937683,0.14304132759571075,682.573625189066,109.6601333618164
relu,adamw,0,18,0.9088,15.372873067855835,0.46992236375808716,0.46992235294117646,1.5164152874666101,0.5972285472294864,0.9792619943618774,0.15397760272026062,805.4165013670921,135.17611694335938
relu,adamw,0,24,0.9206,15.271981239318848,0.47021177411079407,0.47021176470588233,1.5182663728209103,0.5967641095904743,0.9801214933395386,0.15443454682826996,1580.8450386583804,271.8258972167969
relu,adamw,1,0,0.588,15.36824107170105,0.5298423767089844,0.5298423529411764,1.6143665524090038,0.7601462164345909,0.9960620403289795,0.014270204119384289,1695.4702221930027,453.6499328613281
relu,adamw,1,6,0.8481,15.660692691802979,0.4925352931022644,0.49253529411764707,1.5651544367565828,0.6630195046172422,0.9835606217384338,0.10360508412122726,637.7764262199402,83.20417022705078
relu,adamw,1,12,0.8907,15.535236358642578,0.4721529483795166,0.4721529411764706,1.527309915598701,0.6138717365615508,0.9765007495880127,0.1486494541168213,568.6792800307273,115.71818542480469
relu,adamw,1,18,0.9096,17.906622171401978,0.4680129289627075,0.4680129411764706,1.511573900194729,0.5934059839038288,0.9772806763648987,0.15942591428756714,408.8874682992697,126.87666320800781
relu,adamw,1,24,0.9192,17.090705156326294,0.4685541093349457,0.46855411764705884,1.513676808160894,0.5924257057554582,0.9785292744636536,0.15954183042049408,1054.180491399765,180.3911590576172
relu,adamw,2,0,0.5883,17.459535598754883,0.5241376757621765,0.5241376470588235,1.638645003823673,0.7893518752911511,0.9966821670532227,0.014148457907140255,1563.0351594299077,509.4713134765625
relu,adamw,2,6,0.8394,16.24401068687439,0.49150705337524414,0.4915070588235294,1.5859059691429138,0.6820746905663434,0.9859726428985596,0.09816651791334152,570.571839478612,84.57231903076172
relu,adamw,2,12,0.881,17.643274307250977,0.47404587268829346,0.47404588235294115,1.5396920056904064,0.6190658474669737,0.9793344140052795,0.1417488157749176,481.8647749349475,109.53652954101562
relu,adamw,2,18,0.9097,16.59789800643921,0.4699411690235138,0.46994117647058825,1.5342321571181803,0.6062394485754126,0.979495644569397,0.15244638919830322,668.167832660675,140.0040283203125
relu,adamw,2,24,0.9186,15.483851909637451,0.4700729548931122,0.4700729411764706,1.5350806187180912,0.6051032604540095,0.9803371429443359,0.15284110605716705,599.3524462401867,131.97372436523438
gelu,adamw,0,0,0.5375,15.461106538772583,0.5535935759544373,0.9780952941176471,1.590838965247659,0.7768926287398619,0.9964956641197205,0.01415567472577095,82.92213794589043,155.0875701904297
gelu,adamw,0,6,0.8472,20.093541383743286,0.5235134363174438,0.9761717647058824,1.6019910363590015,0.69119152952643,0.991122841835022,0.0956200659275055,318.44575605094434,66.14881896972656
gelu,adamw,0,12,0.8785,18.46117877960205,0.506731390953064,0.9754164705882353,1.5773750087794136,0.6389144659042358,0.989012598991394,0.13926051557064056,323.9966827571392,79.46156311035156
gelu,adamw,0,18,0.9128,16.629068613052368,0.503061056137085,0.97516,1.575182153898127,0.6239197271711686,0.9906392693519592,0.15074223279953003,510.58694330453875,101.26905822753906
gelu,adamw,0,24,0.9172,16.25235366821289,0.503316342830658,0.9753317647058823,1.5801627671017366,0.6238651126623154,0.9916041493415833,0.15120023488998413,428.7997841536999,181.39193725585938
gelu,adamw,1,0,0.5779,19.02521777153015,0.5549464225769043,0.9785329411764706,1.5729027635910933,0.7588109742192661,0.9962425231933594,0.013930819928646088,1367.8422142654658,515.4214477539062
gelu,adamw,1,6,0.856,16.672276258468628,0.5257304906845093,0.9765788235294117,1.5973247955827152,0.6854240824194515,0.9902551770210266,0.09788274019956589,795.3452531725168,96.8037109375
gelu,adamw,1,12,0.8957,15.281741380691528,0.5060349106788635,0.9752741176470588,1.5811164449242985,0.6394160170765484,0.9884869456291199,0.1433941125869751,446.9764504522085,89.95643615722656
gelu,adamw,1,18,0.9192,17.00025701522827,0.5018482208251953,0.9750905882352942,1.5798712127348955,0.6256937787813299,0.9904181361198425,0.15500220656394958,103.87808231711388,122.69538879394531
gelu,adamw,1,24,0.9233,15.5962815284729,0.5027279853820801,0.9751835294117647,1.5838268434300142,0.6250722241752288,0.9915038347244263,0.15538500249385834,-360.6951450839639,125.72854614257812
gelu,adamw,2,0,0.5717,15.35826587677002,0.5537183284759521,0.9786988235294117,1.6275829357259415,0.7954794641803292,0.9955996870994568,0.01530611515045166,1493.7627387434245,636.3869018554688
gelu,adamw,2,6,0.8551,16.763317823410034,0.5228022336959839,0.9760505882352941,1.6108303876484142,0.6955220234744689,0.9920839667320251,0.10044585168361664,477.00386838316916,92.03424835205078
gelu,adamw,2,12,0.8887,16.136773109436035,0.5066685080528259,0.974755294117647,1.5859939105370466,0.6396738089182797,0.9904150366783142,0.14423225820064545,439.7880133926868,103.86859130859375
gelu,adamw,2,18,0.9151,16.75716805458069,0.5018889904022217,0.9747282352941177,1.5884224947761088,0.6288288279491312,0.9916658997535706,0.1558431088924408,265.47777941226957,126.80339050292969
gelu,adamw,2,24,0.9215,18.804628372192383,0.5018892884254456,0.9747882352941176,1.5933440082213457,0.6295468912405127,0.9923770427703857,0.15649773180484772,491.6820784419775,178.3264617919922
silu,adamw,0,0,0.5308,20.746094703674316,0.5314961671829224,0.9864894117647058,1.6272459696320927,0.7416170668952605,0.9981585741043091,0.016221683472394943,464.15907993465663,132.10682678222656
silu,adamw,0,6,0.8404,15.270214080810547,0.501771092414856,0.9841329411764705,1.703427090364344,0.6828547304167467,1.0086605548858643,0.0877252072095871,350.543545755744,49.33644104003906
silu,adamw,0,12,0.8908,15.854260206222534,0.48587629199028015,0.9833905882352941,1.7095388384426342,0.6377264804699841,1.0158923864364624,0.13207095861434937,205.36976439654828,49.87116622924805
silu,adamw,0,18,0.9142,15.754185199737549,0.4812270700931549,0.9828635294117647,1.7158825046875898,0.6270036022452747,1.020437240600586,0.14462517201900482,403.48155153691766,90.30326843261719
silu,adamw,0,24,0.9217,15.835217714309692,0.48109668493270874,0.98294,1.7213432894033545,0.626663236933596,1.0215263366699219,0.14579206705093384,554.0770350068808,117.44827270507812
silu,adamw,1,0,0.5366,15.360607624053955,0.5309509634971619,0.9864847058823529,1.6198198269395268,0.7358579688212451,0.9975277781486511,0.013824714347720146,496.6321222871542,177.1859588623047
silu,adamw,1,6,0.8461,17.661820888519287,0.5024751424789429,0.9842058823529412,1.6843206952599918,0.6677526717676836,1.0050989389419556,0.09127134084701538,338.10344926342367,76.34032440185547
silu,adamw,1,12,0.8936,15.828918695449829,0.48421964049339294,0.9832670588235294,1.7033208538504208,0.6345887508462457,1.0116186141967773,0.13903114199638367,516.6185663416982,72.68052673339844
silu,adamw,1,18,0.9148,18.64000105857849,0.480204313993454,0.9825941176470588,1.7056229815763586,0.6189725083463332,1.0167564153671265,0.15243424475193024,172.0021197795868,46.1002311706543
silu,adamw,1,24,0.92,15.411333560943604,0.48009058833122253,0.9826811764705883,1.713071163962869,0.6210896311437383,1.0182743072509766,0.1532566100358963,-173.52813919484615,53.24579620361328
silu,adamw,2,0,0.5411,15.446535110473633,0.5294045805931091,0.9858176470588236,1.6321332875420065,0.7536106626777088,0.997614860534668,0.01589220017194748,1353.8769462794066,251.98233032226562
silu,adamw,2,6,0.8403,17.16519808769226,0.5031681656837463,0.9845564705882353,1.6863926017985624,0.6750789950875675,1.0077331066131592,0.08650892227888107,588.4685613542795,95.84789276123047
silu,adamw,2,12,0.8828,15.33043622970581,0.4868658185005188,0.9834905882352941,1.6987839235978968,0.631708109203507,1.014370322227478,0.13214343786239624,357.68701947033406,71.75628662109375
silu,adamw,2,18,0.9139,16.71960949897766,0.4823351800441742,0.9829952941176471,1.7084651484208948,0.6226455253713271,1.0187277793884277,0.14524073898792267,236.00445100069047,70.3748550415039
silu,adamw,2,24,0.9193,15.275453805923462,0.482445627450943,0.9831070588235294,1.7117844504468582,0.6220681132639155,1.0198613405227661,0.14629940688610077,249.14092879146338,112.60801696777344
mish,adamw,0,0,0.5585,15.913596153259277,0.5934188365936279,0.9870517647058824,1.6243110754910637,0.8222916845013114,0.9976578950881958,0.014352298341691494,1026.34537781775,175.5585174560547
mish,adamw,0,6,0.8411,15.250302791595459,0.5522188544273376,0.9853823529411765,1.6987121350624983,0.7584577132673824,1.0064976215362549,0.10788580775260925,577.4901259601116,49.16829299926758
mish,adamw,0,12,0.89,15.33402967453003,0.5332211852073669,0.9843635294117647,1.702775355647592,0.7078235184445101,1.0125248432159424,0.15695656836032867,222.96791632026435,58.81490707397461
mish,adamw,0,18,0.9128,32.67693853378296,0.5272825956344604,0.9838729411764706,1.7052874880678512,0.6935029713546529,1.0163341760635376,0.1697918027639389,442.20520063638685,85.00696563720703
mish,adamw,0,24,0.92,17.119227409362793,0.5279042720794678,0.9840058823529412,1.7135320936932283,0.6952347737901351,1.017369031906128,0.17050403356552124,494.3514430373907,133.46395874023438
mish,adamw,1,0,0.571,15.515759944915771,0.5911446809768677,0.987064705882353,1.6339093306485344,0.8359567452879513,0.9971301555633545,0.014766852371394634,388.3506139859557,224.7686309814453
mish,adamw,1,6,0.8427,18.11232280731201,0.5529565215110779,0.9850188235294117,1.7032114267349243,0.7576903034658993,1.005724549293518,0.11323878169059753,683.6853284150362,109.71138763427734
mish,adamw,1,12,0.8932,18.609508991241455,0.532425582408905,0.9843729411764706,1.704063387478099,0.7077535110361436,1.0111544132232666,0.16422498226165771,338.7280621677637,57.625694274902344
mish,adamw,1,18,0.917,15.315565586090088,0.5268131494522095,0.98416,1.7112297941656673,0.6952771877541262,1.0153597593307495,0.17839588224887848,177.85665067583324,63.358009338378906
mish,adamw,1,24,0.92,15.282902479171753,0.5275501012802124,0.984155294117647,1.716123104095459,0.695739127257291,1.0166316032409668,0.1792738288640976,369.5552616298199,83.7167739868164
mish,adamw,2,0,0.542,15.310272216796875,0.5905815958976746,0.9865988235294118,1.6503169782021467,0.8479613311150495,0.997143566608429,0.01428607665002346,1246.386641842127,387.55401611328125
mish,adamw,2,6,0.8389,15.240784168243408,0.5519704222679138,0.9851494117647058,1.6957954518935259,0.7553229489747215,1.006583333015442,0.11028824001550674,457.83876671493056,62.77931213378906
mish,adamw,2,12,0.8837,15.674241065979004,0.532788097858429,0.9843282352941176,1.699745371061213,0.7058130344923805,1.0120943784713745,0.1604015827178955,168.22788847982883,54.15849685668945
mish,adamw,2,18,0.9144,15.3078134059906,0.5288333296775818,0.984255294117647,1.7102595146964579,0.6956023731652428,1.0161107778549194,0.1736147552728653,141.08574184775352,53.80647277832031
mish,adamw,2,24,0.9193,16.656864643096924,0.5279194116592407,0.9842705882352941,1.7147852007080526,0.6969948901849634,1.0170356035232544,0.1745966076850891,-71.16387025415898,74.79356384277344
