activation,seed,r_gamma,r_preact,r_trace
gelu,0,-0.9999999999999999,-0.9999999999999999,0.9999999999999999
gelu,1,-0.9999999999999999,-0.9999999999999999,0.7
gelu,2,-0.9999999999999999,-0.9999999999999999,0.8999999999999998
mish,0,-0.9999999999999999,-0.9999999999999999,0.8999999999999998
mish,1,-0.9999999999999999,-0.9999999999999999,0.8999999999999998
mish,2,-0.9999999999999999,-0.9999999999999999,0.9999999999999999
relu,0,-0.9999999999999999,-0.9999999999999999,0.7
relu,1,-0.9999999999999999,-0.9999999999999999,0.9999999999999999
relu,2,-0.9999999999999999,-0.9999999999999999,0.9999999999999999
silu,0,-0.9999999999999999,-0.9999999999999999,0.7
silu,1,-0.9999999999999999,-0.9999999999999999,0.39999999999999997
silu,2,-0.9999999999999999,-0.9999999999999999,0.9999999999999999
