alpha,seed,stable_rank
1.0,0,46.56013934616382
1.0,1,46.886161158583455
1.0,2,46.86793946203471
1.0,3,46.62695628732225
1.0,4,46.99741034889133
1.5,0,44.418016667282885
1.5,1,45.4479628912824
1.5,2,45.137273255230106
1.5,3,44.56331679230847
1.5,4,45.14049304728475
2.0,0,42.04752213307158
2.0,1,43.84889482471756
2.0,2,42.967728598216
2.0,3,41.790742069899736
2.0,4,42.854144470231546
3.0,0,37.17667424355842
3.0,1,40.73785406671029
3.0,2,38.65785949884343
3.0,3,36.05189959455226
3.0,4,38.0122172858872
5.0,0,28.92091306782874
5.0,1,33.57375949999784
5.0,2,32.506755978780525
5.0,3,28.0149097006899
5.0,4,29.903049732414424
7.0,0,23.431584053904487
7.0,1,28.2747723817013
7.0,2,29.052640824773878
7.0,3,23.51637707327468
7.0,4,24.614285123776124
10.0,0,18.07281037861792
10.0,1,23.45162313190995
10.0,2,26.07003213241861
10.0,3,19.68232883062527
10.0,4,20.008579197317218
13.0,0,14.556462477796419
13.0,1,20.67453275712496
13.0,2,22.5349715945147
13.0,3,17.490989594944562
13.0,4,17.63422461253494
16.0,0,12.18202946928761
16.0,1,18.96409627824952
16.0,2,19.66848721320129
16.0,3,16.12656601529063
16.0,4,16.10878577266252
20.0,0,10.156813380237095
20.0,1,17.626872675791166
20.0,2,16.50965488191038
20.0,3,14.927187601459728
20.0,4,13.505866831312119
25.0,0,8.661455012826044
25.0,1,16.18375904809329
25.0,2,13.776160359228374
25.0,3,13.864414904919196
25.0,4,11.401825851345
30.0,0,7.744813204474829
30.0,1,14.773572769692866
30.0,2,11.800466417330345
30.0,3,13.025068839572034
30.0,4,9.9860085782962
40.0,0,6.647613947383193
40.0,1,12.30699539686162
40.0,2,9.05615339430336
40.0,3,11.527091572880435
40.0,4,8.215135952274203
60.0,0,5.5178207251740155
60.0,1,8.607007153779884
60.0,2,5.888670125226349
60.0,3,8.52177136122167
60.0,4,6.201737659532289
