activation,threshold,start_mean,end_mean,abs_change_mean,rel_change_pct_mean
relu,0.001,0.49623803921568627,0.3694627450980392,-0.12677529411764704,-25.505290233637265
relu,0.005,0.49623803921568627,0.3694627450980392,-0.12677529411764704,-25.505290233637265
relu,0.01,0.49623803921568627,0.3694627450980392,-0.12677529411764704,-25.505290233637265
relu,0.05,0.49623803921568627,0.3694627450980392,-0.12677529411764704,-25.505290233637265
relu,0.1,0.49623803921568627,0.3694627450980392,-0.12677529411764704,-25.505290233637265
gelu,0.001,0.9953792156862745,0.9993023529411764,0.003923137254901898,0.3941456579065296
gelu,0.005,0.9900396078431372,0.9967329411764706,0.00669333333333344,0.6761263738664747
gelu,0.01,0.9842219607843138,0.9935925490196077,0.009370588235294056,0.9522129041792535
gelu,0.05,0.9399407843137255,0.9682870588235293,0.02834627450980391,3.017727095154798
gelu,0.1,0.8795619607843137,0.9341686274509803,0.054606666666666616,6.216755229140329
silu,0.001,0.9988729411764706,0.9997305882352941,0.0008576470588234075,0.08586286059948674
silu,0.005,0.9960921568627451,0.9986827450980392,0.0025905882352940854,0.2600906385240888
silu,0.01,0.992804705882353,0.9973525490196078,0.004547843137254944,0.45812410033738366
silu,0.05,0.9661760784313725,0.9864584313725491,0.02028235294117653,2.0999389908137935
silu,0.1,0.9208509803921568,0.9699901960784314,0.049139215686274586,5.336727877321672
mish,0.001,0.998976862745098,0.999685882352941,0.0007090196078431236,0.07097589609806108
mish,0.005,0.995749019607843,0.9983913725490198,0.002642352941176577,0.2653696088070018
mish,0.01,0.9919101960784314,0.996769019607843,0.004858823529411693,0.4898618987441872
mish,0.05,0.9616643137254902,0.9836298039215686,0.02196549019607848,2.284579232702528
mish,0.1,0.9186780392156862,0.9657945098039216,0.04711647058823524,5.1308676367558865
